,Year,AFG,AHO,ALB,ALG,AND,ANG,ANT,ANZ,ARG,ARM,ARU,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BEN,BER,BIH,BIZ,BLR,BOH,BOT,BRA,BRN,BUL,BUR,CAM,CAN,CAY,CGO,CHI,CHN,CIV,CMR,COD,COK,COL,CRC,CRO,CRT,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,ERI,ESA,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,FSM,GAB,GAM,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUI,GUM,GUY,HAI,HKG,HON,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,IVB,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,KOS,KSA,KUW,LAT,LBA,LBR,LES,LIB,LIE,LTU,LUX,MAD,MAL,MAR,MAS,MAW,MDA,MEX,MGL,MHL,MKD,MLT,MNE,MON,MOZ,MRI,MTN,MYA,NAM,NCA,NED,NEP,NGR,NIG,NOR,NRU,NZL,OMA,PAK,PAN,PAR,PER,PHI,PLE,PNG,POL,POR,PRK,PUR,QAT,RHO,ROT,ROU,RSA,RUS,RWA,SAA,SAM,SCG,SEN,SGP,SKN,SLE,SLO,SMR,SOL,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SWZ,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,VIN,WIF,YAR,YEM,YUG,ZAM,ZIM
34,1896,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,0,0,32,0,48,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,1900,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,43,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,235,0,0,0,0,108,0,0,45,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
26,1904,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,16,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0
22,1906,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0,39,0,0,30,0,102,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
33,1908,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,6,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,367,0,0,21,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
13,1912,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,71,25,0,0,0,0,170,0,0,53,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
2,1920,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,188,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,23,3,0,0,0,52,141,0,0,0,0,111,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,154,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0
25,1924,0,0,0,0,0,0,0,0,10,0,0,11,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,0,67,120,0,0,0,0,95,0,0,0,0,1,0,0,0,0,0,5,0,0,22,0,7,0,0,2,0,0,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,1,0,0,39,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,81,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,193,0,0,0,0,0,0,0,2,0,0
28,1928,0,0,0,0,0,0,0,0,26,0,0,4,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,3,9,0,0,0,29,52,0,0,0,0,59,0,0,82,0,0,0,0,0,0,0,1,0,0,21,0,14,0,0,1,0,0,0,0,72,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,24,0,1,0,0,0,0,0,1,0,0,20,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,53,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,102,0,0,0,0,0,0,0,12,0,0
27,1932,0,0,0,0,0,0,0,0,4,0,0,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,32,42,0,0,0,0,35,0,0,57,0,0,0,0,0,0,0,0,0,0,35,0,15,0,0,2,0,0,0,0,77,0,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,2,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,222,0,0,0,0,0,0,0,0,0,0
21,1936,0,0,0,0,0,0,0,0,11,0,0,1,60,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,7,0,0,0,36,45,0,0,0,0,53,0,0,231,0,0,0,0,0,0,0,0,0,0,42,0,19,0,0,0,0,0,0,0,76,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,46,0,1,0,0,0,0,0,1,0,0,12,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,45,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,112,0,0,0,0,0,0,0,1,0,0
4,1948,0,0,0,0,0,0,0,0,11,0,0,16,16,0,0,0,0,21,0,0,0,0,0,0,0,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,5,0,0,3,0,0,0,0,42,77,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,20,0,1,1,0,0,0,0,68,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,31,0,0,0,0,2,0,1,0,0,0,2,5,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,88,0,0,0,37,0,0,0,0,0,1,0,12,0,0,0,0,0,3,168,0,0,0,0,0,0,0,16,0,0
5,1952,0,0,0,0,0,0,0,0,6,0,0,20,11,0,0,0,0,8,0,0,0,0,0,0,0,3,0,1,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,52,41,0,0,0,0,32,0,0,52,0,0,0,0,0,0,0,0,0,0,104,0,15,0,7,1,0,0,0,0,56,0,8,0,12,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,32,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,93,0,0,0,25,0,0,0,0,0,2,0,3,0,0,0,0,117,14,164,0,1,0,0,0,0,0,24,0,0
14,1956,0,0,0,0,0,0,0,0,2,0,0,67,16,0,2,0,0,2,0,0,0,0,0,0,0,1,0,18,0,0,39,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0,0,0,0,46,0,0,54,0,1,0,0,0,0,0,0,0,0,65,0,17,0,5,5,0,1,0,0,55,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,14,0,0,0,0,0,0,20,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,49,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,206,12,149,0,0,0,0,0,0,0,23,0,0
12,1960,0,0,0,0,0,0,0,0,4,0,0,46,9,0,0,0,0,4,0,0,0,0,0,0,0,13,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,14,0,1,0,0,19,15,0,0,0,0,28,0,0,98,1,3,0,0,0,0,0,0,0,0,66,0,13,0,4,0,1,0,0,0,89,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,3,0,14,0,0,0,0,0,0,32,2,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,16,0,0,0,23,0,0,0,0,1,0,0,9,0,2,0,0,210,0,152,0,1,0,0,5,0,0,17,0,0
23,1964,0,0,0,0,0,0,0,0,1,0,0,44,17,0,2,0,0,3,0,0,0,0,0,0,0,12,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,20,38,0,0,0,0,30,0,0,126,1,0,0,0,0,0,0,0,0,0,56,0,15,0,2,1,0,0,0,0,61,0,0,0,62,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,15,0,6,0,16,0,0,0,1,0,0,46,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,43,0,0,0,71,0,0,0,0,0,6,2,6,0,0,0,0,221,1,177,0,0,0,0,0,0,0,15,0,0
